Minimum Error At:
AX12 Constant 152
dsPIC Constant 184


Other possible values with error less than 1%
----------------+-----------------+-----------
       AX12     |       dsPIC     |
  Speed   Value |   Speed  Value  |  Error (%)
----------------+-----------------+-----------
    17391  114  |    17273  139   |    0.68
    17241  115  |    17273  139   |    0.19
    17241  115  |    17150  140   |    0.53
    17094  116  |    17150  140   |    0.33
    17094  116  |    17030  141   |    0.38
    16949  117  |    17030  141   |    0.48
    16949  117  |    16911  142   |    0.23
    16806  118  |    16911  142   |    0.62
    16949  117  |    16793  143   |    0.93
    16806  118  |    16793  143   |    0.08
    16666  119  |    16793  143   |    0.76
    16806  118  |    16677  144   |    0.77
    16666  119  |    16677  144   |    0.07
    16528  120  |    16677  144   |    0.90
    16666  119  |    16563  145   |    0.62
    16528  120  |    16563  145   |    0.21
    16528  120  |    16450  146   |    0.47
    16393  121  |    16450  146   |    0.35
    16393  121  |    16339  147   |    0.33
    16260  122  |    16339  147   |    0.49
    16260  122  |    16230  148   |    0.19
    16129  123  |    16230  148   |    0.63
    16260  122  |    16121  149   |    0.86
    16129  123  |    16121  149   |    0.04
    16000  124  |    16121  149   |    0.76
    16129  123  |    16015  150   |    0.71
    16000  124  |    16015  150   |    0.09
    15873  125  |    16015  150   |    0.90
    16000  124  |    15909  151   |    0.57
    15873  125  |    15909  151   |    0.23
    15873  125  |    15805  152   |    0.43
    15748  126  |    15805  152   |    0.37
    15748  126  |    15703  153   |    0.29
    15625  127  |    15703  153   |    0.50
    15748  126  |    15601  154   |    0.94
    15625  127  |    15601  154   |    0.15
    15503  128  |    15601  154   |    0.63
    15625  127  |    15501  155   |    0.79
    15503  128  |    15501  155   |    0.01
    15384  129  |    15501  155   |    0.76
    15503  128  |    15403  156   |    0.65
    15384  129  |    15403  156   |    0.12
    15267  130  |    15403  156   |    0.89
    15384  129  |    15305  157   |    0.52
    15267  130  |    15305  157   |    0.25
    15267  130  |    15209  158   |    0.38
    15151  131  |    15209  158   |    0.38
    15151  131  |    15114  159   |    0.25
    15037  132  |    15114  159   |    0.51
    15151  131  |    15020  160   |    0.87
    15037  132  |    15020  160   |    0.11
    14925  133  |    15020  160   |    0.64
    15037  132  |    14927  161   |    0.74
    14925  133  |    14927  161   |    0.02
    14814  134  |    14927  161   |    0.76
    14925  133  |    14836  162   |    0.60
    14814  134  |    14836  162   |    0.14
    14705  135  |    14836  162   |    0.89
    14814  134  |    14745  163   |    0.47
    14705  135  |    14745  163   |    0.27
    14705  135  |    14656  164   |    0.34
    14598  136  |    14656  164   |    0.40
    14705  135  |    14567  165   |    0.95
    14598  136  |    14567  165   |    0.21
    14492  137  |    14567  165   |    0.52
    14598  136  |    14480  166   |    0.81
    14492  137  |    14480  166   |    0.08
    14388  138  |    14480  166   |    0.64
    14492  137  |    14394  167   |    0.68
    14388  138  |    14394  167   |    0.04
    14285  139  |    14394  167   |    0.76
    14388  138  |    14309  168   |    0.55
    14285  139  |    14309  168   |    0.17
    14184  140  |    14309  168   |    0.88
    14285  139  |    14225  169   |    0.43
    14184  140  |    14225  169   |    0.29
    14084  141  |    14225  169   |    1.00
    14184  140  |    14141  170   |    0.30
    14084  141  |    14141  170   |    0.41
    14184  140  |    14059  171   |    0.89
    14084  141  |    14059  171   |    0.18
    13986  142  |    14059  171   |    0.53
    14084  141  |    13978  172   |    0.76
    13986  142  |    13978  172   |    0.05
    13888  143  |    13978  172   |    0.65
    13986  142  |    13898  173   |    0.63
    13888  143  |    13898  173   |    0.07
    13793  144  |    13898  173   |    0.76
    13888  143  |    13818  174   |    0.51
    13793  144  |    13818  174   |    0.19
    13698  145  |    13818  174   |    0.88
    13793  144  |    13740  175   |    0.38
    13698  145  |    13740  175   |    0.30
    13605  146  |    13740  175   |    0.99
    13793  144  |    13662  176   |    0.96
    13698  145  |    13662  176   |    0.26
    13605  146  |    13662  176   |    0.42
    13698  145  |    13585  177   |    0.83
    13605  146  |    13585  177   |    0.14
    13513  147  |    13585  177   |    0.54
    13605  146  |    13509  178   |    0.71
    13513  147  |    13509  178   |    0.03
    13422  148  |    13509  178   |    0.65
    13513  147  |    13434  179   |    0.59
    13422  148  |    13434  179   |    0.09
    13333  149  |    13434  179   |    0.76
    13422  148  |    13360  180   |    0.47
    13333  149  |    13360  180   |    0.21
    13245  150  |    13360  180   |    0.87
    13333  149  |    13287  181   |    0.35
    13245  150  |    13287  181   |    0.32
    13157  151  |    13287  181   |    0.98
    13333  149  |    13214  182   |    0.90
    13245  150  |    13214  182   |    0.23
    13157  151  |    13214  182   |    0.43
    13245  150  |    13142  183   |    0.78
    13157  151  |    13142  183   |    0.11
    13071  152  |    13142  183   |    0.54
    13157  151  |    13071  184   |    0.66
    13071  152  |    13071  184   |    0.00
    12987  153  |    13071  184   |    0.65
    13071  152  |    13001  185   |    0.54
    12987  153  |    13001  185   |    0.11
    12903  154  |    13001  185   |    0.76
    12987  153  |    12931  186   |    0.43
    12903  154  |    12931  186   |    0.22
    12820  155  |    12931  186   |    0.87
    12987  153  |    12863  187   |    0.96
    12903  154  |    12863  187   |    0.31
    12820  155  |    12863  187   |    0.33
    12738  156  |    12863  187   |    0.98
    12903  154  |    12795  188   |    0.84
    12820  155  |    12795  188   |    0.20
    12738  156  |    12795  188   |    0.44
    12820  155  |    12727  189   |    0.73
    12738  156  |    12727  189   |    0.09
    12658  157  |    12727  189   |    0.55
    12738  156  |    12661  190   |    0.61
    12658  157  |    12661  190   |    0.02
    12578  158  |    12661  190   |    0.66
    12658  157  |    12595  191   |    0.50
